Date,Open,High,Low,Close,Adj Close,Volume,Day
2022-08-24,1.35,1.4,1.33,1.35,1.35,9449900,131
2022-08-25,1.37,1.39,1.32,1.34,1.34,9732200,132
2022-08-26,1.33,1.37,1.26,1.27,1.27,10432500,133
2022-08-29,1.26,1.319,1.25,1.26,1.26,6999400,134
2022-08-30,1.29,1.31,1.23,1.27,1.27,7700300,135
2022-08-31,1.25,1.3,1.24,1.3,1.3,9950100,136
2022-09-01,1.27,1.27,1.2,1.25,1.25,8986100,137
2022-09-02,1.27,1.28,1.21,1.21,1.21,7275500,138
2022-09-06,1.21,1.26,1.2,1.23,1.23,6098800,139
2022-09-07,1.22,1.25,1.2,1.23,1.23,8400300,140
2022-09-08,1.22,1.24,1.2,1.22,1.22,10185900,141
2022-09-09,1.22,1.32,1.2,1.29,1.29,16759900,142
2022-09-12,1.3,1.33,1.26,1.28,1.28,8879800,143
2022-09-13,1.21,1.225,1.16,1.16,1.16,13590500,144
2022-09-14,1.17,1.18,1.09,1.1,1.1,15681900,145
2022-09-15,1.1,1.14,1.07,1.08,1.08,12270700,146
2022-09-16,1.06,1.06,0.98,0.99,0.99,29479700,147
2022-09-19,0.99,1,0.921,0.929,0.929,44995400,148
2022-09-20,0.918,1.01,0.91,0.961,0.961,43821900,149
2022-09-21,0.999,1,0.93,0.934,0.934,21275000,150
2022-09-22,0.93,0.959,0.883,0.891,0.891,22097400,151
2022-09-23,0.88,0.903,0.823,0.829,0.829,17121300,152
2022-09-26,0.826,0.945,0.818,0.875,0.875,19938700,153
2022-09-27,0.899,0.915,0.844,0.862,0.862,12547700,154
2022-09-28,0.87,0.979,0.85,0.95,0.95,27030400,155
2022-09-29,0.91,0.93,0.81,0.812,0.812,34335500,156
2022-09-30,0.802,0.839,0.717,0.734,0.734,40668700,157
2022-10-03,0.74,0.82,0.697,0.817,0.817,44484400,158
2022-10-04,0.841,0.89,0.822,0.869,0.869,23456600,159
2022-10-05,0.851,0.88,0.81,0.86,0.86,12912100,160
2022-10-06,0.86,0.9,0.832,0.848,0.848,12929400,161
2022-10-07,0.822,0.829,0.741,0.755,0.755,19145900,162
2022-10-10,0.77,0.79,0.72,0.771,0.771,12585500,163
2022-10-11,0.77,0.81,0.723,0.779,0.779,18625200,164
2022-10-12,0.785,0.8,0.75,0.791,0.791,18252900,165
2022-10-13,0.751,0.77,0.71,0.726,0.726,34870100,166
2022-10-14,0.73,0.75,0.683,0.69,0.69,20746900,167
2022-10-17,0.71,0.763,0.7,0.759,0.759,27161400,168
2022-10-18,0.778,0.8,0.723,0.759,0.759,16176000,169
2022-10-19,0.759,0.781,0.735,0.753,0.753,11370300,170
2022-10-20,0.753,0.796,0.721,0.726,0.726,15857300,171
2022-10-21,0.729,0.77,0.71,0.766,0.766,13631000,172
2022-10-24,0.75,0.759,0.69,0.738,0.738,14857300,173
2022-10-25,0.729,0.82,0.729,0.767,0.767,23041500,174
2022-10-26,0.788,0.82,0.754,0.77,0.77,13052100,175
2022-10-27,0.781,0.784,0.735,0.741,0.741,16589000,176
2022-10-28,0.741,0.77,0.714,0.722,0.722,24294900,177
2022-10-31,0.72,0.798,0.715,0.783,0.783,19270300,178
2022-11-01,0.8,0.839,0.758,0.763,0.763,15232800,179
2022-11-02,0.758,0.775,0.702,0.702,0.702,18422600,180
2022-11-03,0.702,0.738,0.69,0.694,0.694,15770300,181
2022-11-04,0.704,0.72,0.666,0.687,0.687,18872500,182
2022-11-07,0.7,0.709,0.656,0.663,0.663,14430800,183
2022-11-08,0.66,0.691,0.64,0.683,0.683,13474900,184
2022-11-09,0.67,0.68,0.626,0.629,0.629,12947800,185
2022-11-10,0.69,0.775,0.64,0.725,0.725,33599500,186
2022-11-11,0.73,0.857,0.71,0.827,0.827,26607800,187
2022-11-14,0.822,0.822,0.77,0.772,0.772,16889500,188
2022-11-15,0.824,0.86,0.794,0.802,0.802,21636200,189
2022-11-16,0.77,0.82,0.74,0.746,0.746,16088800,190
2022-11-17,0.71,0.749,0.7,0.722,0.722,20212000,191
2022-11-18,0.741,0.749,0.67,0.672,0.672,25996300,192
2022-11-21,0.663,0.697,0.656,0.691,0.691,19080000,193
2022-11-22,0.68,0.696,0.665,0.68,0.68,19023700,194
2022-11-23,0.695,0.73,0.67,0.697,0.697,18465000,195
2022-11-25,0.688,0.719,0.679,0.68,0.68,7221700,196
2022-11-28,0.684,0.69,0.643,0.647,0.647,14633300,197
2022-11-29,0.657,0.695,0.651,0.658,0.658,19790600,198
2022-11-30,0.664,0.745,0.654,0.734,0.734,25261600,199
2022-12-01,0.715,0.747,0.705,0.711,0.711,24546200,200
2022-12-02,0.684,0.768,0.68,0.756,0.756,27940200,201
2022-12-05,0.769,0.78,0.705,0.708,0.708,23033700,202
2022-12-06,0.72,0.728,0.63,0.636,0.636,26625400,203
2022-12-07,0.644,0.647,0.603,0.617,0.617,22304100,204
2022-12-08,0.623,0.674,0.607,0.64,0.64,14320900,205
2022-12-09,0.637,0.655,0.613,0.616,0.616,14257500,206
2022-12-12,0.624,0.64,0.607,0.629,0.629,15024200,207
2022-12-13,0.665,0.688,0.621,0.631,0.631,16801400,208
2022-12-14,0.626,0.651,0.611,0.638,0.638,17371900,209
2022-12-15,0.615,0.63,0.593,0.612,0.612,16850400,210
2022-12-16,0.602,0.618,0.57,0.57,0.57,32588400,211
2022-12-19,0.6,0.602,0.509,0.522,0.522,23220600,212
2022-12-20,0.51,0.52,0.488,0.501,0.501,26628600,213
2022-12-21,0.508,0.53,0.502,0.517,0.517,29494900,214
2022-12-22,0.51,0.519,0.465,0.477,0.477,18951700,215
2022-12-23,0.471,0.485,0.452,0.476,0.476,16367000,216
2022-12-27,0.466,0.476,0.445,0.446,0.446,18551400,217
2022-12-28,0.459,0.47,0.435,0.439,0.439,15534800,218
2022-12-29,0.441,0.5,0.44,0.473,0.473,23100500,219
2022-12-30,0.461,0.5,0.45,0.488,0.488,23911000,220
