Date,Open,High,Low,Close,Adj Close,Volume,Days
2021-02-22,21.695,22.73,21.459999,22.01,22.01,4384300,45
2021-02-23,21.01,21.35,19.77,21.17,21.17,4411000,46
2021-02-24,21.360001,21.389999,20.280001,20.42,20.42,5331100,47
2021-02-25,20.02,20.9,18.68,18.969999,18.969999,7810300,48
2021-02-26,19,19.795,18.08,19.610001,19.610001,12422100,49
2021-03-01,20.139999,20.5,19.42,19.58,19.58,4431100,50
2021-03-02,19.67,19.82,18.5,18.82,18.82,4152300,51
2021-03-03,18.76,18.934999,17.615,17.99,17.99,3576400,52
2021-03-04,17.669001,18.24,16.34,17.139999,17.139999,5528400,53
2021-03-05,17.290001,17.9,15.06,17.77,17.77,6696900,54
2021-03-08,17.57,18.18,15.5,15.94,15.94,10165200,55
2021-03-09,17.389999,17.459999,15.71,16.99,16.99,10241200,56
2021-03-10,16.870001,17.1,15.7,16.629999,16.629999,10531300,57
2021-03-11,16.999001,19.35,16.950001,19.110001,19.110001,11563700,58
2021-03-12,18.190001,18.9,17.52,18.639999,18.639999,5189200,59
2021-03-15,18.85,20.110001,18.790001,19.110001,19.110001,7899800,60
2021-03-16,19.32,20.09,17.809999,18.34,18.34,5330000,61
2021-03-17,17.93,19.120001,17.66,18.84,18.84,3425900,62
2021-03-18,18.17,18.4,17.120001,17.26,17.26,5797900,63
2021-03-19,17.42,18.040001,16.830999,17.860001,17.860001,7467500,64
2021-03-22,17.9,18.219999,17.459999,17.98,17.98,3805000,65
2021-03-23,17.82,17.870001,16.455,16.559999,16.559999,4110800,66
2021-03-24,16.65,17.030001,16.030001,16.299999,16.299999,5358300,67
2021-03-25,15.654,16.280001,15.55,15.76,15.76,4888200,68
2021-03-26,15.86,16.459999,15.57,16.209999,16.209999,4904900,69
2021-03-29,16.02,16.139999,15.24,15.26,15.26,3996900,70
2021-03-30,15.19,15.25,14.42,15.1,15.1,4666200,71
2021-03-31,15.44,16.23,15.275,15.8,15.8,4800300,72
2021-04-01,16.110001,16.620001,15.64,15.65,15.65,4564800,73
2021-04-05,15.904,15.988,15.15,15.32,15.32,2803300,74
2021-04-06,15.52,15.94,15.385,15.52,15.52,2795100,75
2021-04-07,15.51,15.53,14.26,14.33,14.33,6824300,76
2021-04-08,14.5,14.92,13.96,14.08,14.08,8075400,77
2021-04-09,14,14.05,13.3,13.65,13.65,8707900,78
2021-04-12,13.6,13.88,13.34,13.6,13.6,5564000,79
2021-04-13,13.59,14.38,13.59,14.27,14.27,4814500,80
2021-04-14,14.34,14.38,13.51,13.53,13.53,4805900,81
2021-04-15,13.75,13.82,12.68,12.72,12.72,7282200,82
2021-04-16,12.61,12.71,12.32,12.44,12.44,4689100,83
2021-04-19,12.41,12.55,11.82,12.31,12.31,4078400,84
2021-04-20,12.34,12.36,11.71,12.07,12.07,4335400,85
2021-04-21,12.03,12.54,11.8,12.49,12.49,3624400,86
2021-04-22,12.89,13.94,12.395,13.1,13.1,9149300,87
2021-04-23,13.33,13.67,13.09,13.54,13.54,3338700,88
2021-04-26,13.61,14.44,13.56,14.16,14.16,5523900,89
2021-04-27,14.94,15.22,14.42,15.12,15.12,9221100,90
2021-04-28,14.9,15.3,14.311,15.19,15.19,6617000,91
2021-04-29,15.44,15.45,14.13,14.16,14.16,4171500,92
2021-04-30,13.94,14.38,13.74,13.87,13.87,2956300,93
2021-05-03,13.915,13.94,12.92,13.08,13.08,4663600,94
2021-05-04,12.76,13.47,12.12,13.43,13.43,5371800,95
2021-05-05,13.658,13.73,12.4,12.58,12.58,5014500,96
